login_account,privilege_level,page_url,operation_time,operation_content
acct_type2,2,/products/test,2025/09/14 14:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 14:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 14:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 15:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 15:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 15:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 15:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 15:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 15:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 16:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 16:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 16:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 16:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 16:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 16:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 17:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 17:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 17:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 17:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 17:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 17:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 18:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 18:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 18:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 18:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 18:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 18:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 19:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 19:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 19:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 19:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 19:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 19:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 20:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 20:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 20:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 20:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 20:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 20:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 21:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 21:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 21:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 21:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 21:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 21:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 22:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 22:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 22:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 22:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 22:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 22:50:00,Normal access
acct_type2,2,/products/test,2025/09/14 23:00:00,Normal access
acct_type2,2,/products/test,2025/09/14 23:10:00,Normal access
acct_type2,2,/products/test,2025/09/14 23:20:00,Normal access
acct_type2,2,/products/test,2025/09/14 23:30:00,Normal access
acct_type2,2,/products/test,2025/09/14 23:40:00,Normal access
acct_type2,2,/products/test,2025/09/14 23:50:00,Normal access
acct_type3,2,/marketing/page,2025/09/14 09:00:00,Normal access
acct_type3,2,/marketing/page,2025/09/14 09:00:30,Normal access
acct_type3,2,/marketing/page,2025/09/14 09:01:00,Normal access
acct_type3,2,/marketing/page,2025/09/14 09:01:30,Normal access
acct_type3,2,/marketing/page,2025/09/14 09:02:00,Normal access
acct_type3,2,/marketing/page,2025/09/14 09:02:30,Normal access
acct_type3,2,/marketing/page,2025/09/14 09:03:00,Normal access
acct_type3,2,/marketing/page,2025/09/14 09:03:30,Normal access
acct_type3,2,/marketing/page,2025/09/14 09:04:00,Normal access
acct_type3,2,/marketing/page,2025/09/14 09:04:30,Normal access
acct_type4,2,/confidential/hr,2025/09/14 09:00:00,Email: test****@example.com
acct_type4,2,/confidential/hr,2025/09/14 09:00:40,Secure data operation - user liu****88@test.com
acct_type4,2,/confidential/hr,2025/09/14 09:01:20,Email: test****@example.com
acct_type4,2,/confidential/hr,2025/09/14 09:02:00,Email: test****@example.com
acct_type4,2,/confidential/hr,2025/09/14 09:02:40,Secure data operation - user liu****88@test.com
acct_type4,2,/confidential/hr,2025/09/14 09:03:20,Phone: 138****1234
acct_type5,1,/confidential/data,2025/09/14 22:00:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:03:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:06:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:09:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:12:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:15:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:18:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:21:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:24:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:27:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:30:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:33:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:36:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:39:00,Privileged access
acct_type5,1,/confidential/data,2025/09/14 22:42:00,Privileged access
acct_noise0,2,/ads/banner,2025/09/14 14:20:00,Test user access
acct_noise1,2,/random/page,2025/09/14 10:45:00,Login success
acct_noise2,2,/ads/banner,2025/09/14 12:39:00,Login success
acct_noise3,2,/ads/banner,2025/09/14 11:51:00,Error code: 500
acct_noise4,1,/ads/banner,2025/09/14 11:02:00,Error code: 500
acct_noise0,1,/random/page,2025/09/14 13:48:00,Test user access
acct_noise1,1,/ads/banner,2025/09/14 18:34:00,Login success
acct_noise2,1,/confidential/fake,2025/09/14 10:09:00,Login success
acct_noise3,2,/products/demo,2025/09/14 11:11:00,Visit homepage
acct_noise4,1,/ads/banner,2025/09/14 09:55:00,Test user access
acct_noise0,1,/random/page,2025/09/14 16:15:00,Error code: 500
acct_noise1,1,/products/demo,2025/09/14 17:25:00,Login success
acct_noise2,1,/ads/banner,2025/09/14 13:01:00,Error code: 500
acct_noise3,2,/random/page,2025/09/14 14:17:00,Visit homepage
acct_noise4,1,/ads/banner,2025/09/14 15:39:00,Visit homepage
acct_noise0,2,/random/page,2025/09/14 18:37:00,Visit homepage
acct_noise1,1,/confidential/fake,2025/09/14 11:11:00,Test user access
acct_noise2,2,/products/demo,2025/09/14 15:39:00,Test user access
acct_noise3,2,/confidential/fake,2025/09/14 15:10:00,Error code: 500
acct_noise4,1,/confidential/fake,2025/09/14 09:54:00,Login success
acct_noise0,2,/confidential/fake,2025/09/14 10:41:00,Error code: 500
acct_noise1,1,/random/page,2025/09/14 17:15:00,Login success
acct_noise2,1,/confidential/fake,2025/09/14 11:28:00,Visit homepage
acct_noise3,2,/random/page,2025/09/14 12:11:00,Login success
acct_noise4,1,/products/demo,2025/09/14 11:52:00,Test user access
acct_noise0,2,/products/demo,2025/09/14 11:02:00,Test user access
acct_noise1,2,/random/page,2025/09/14 09:44:00,Visit homepage
acct_noise2,1,/confidential/fake,2025/09/14 10:15:00,Login success
acct_noise3,1,/ads/banner,2025/09/14 12:20:00,Error code: 500
acct_noise4,2,/confidential/fake,2025/09/14 18:48:00,Test user access
acct_noise0,1,/random/page,2025/09/14 09:46:00,Login success
acct_noise1,2,/products/demo,2025/09/14 16:17:00,Test user access
acct_noise2,1,/confidential/fake,2025/09/14 14:52:00,Login success
acct_noise3,1,/random/page,2025/09/14 12:21:00,Error code: 500
acct_noise4,1,/confidential/fake,2025/09/14 16:50:00,Login success
acct_noise0,2,/confidential/fake,2025/09/14 09:11:00,Test user access
acct_noise1,1,/ads/banner,2025/09/14 16:50:00,Test user access
acct_noise2,2,/products/demo,2025/09/14 09:43:00,Login success
acct_noise3,2,/random/page,2025/09/14 15:30:00,Login success
acct_noise4,1,/products/demo,2025/09/14 10:42:00,Visit homepage
acct_noise0,2,/products/demo,2025/09/14 13:34:00,Login success
acct_noise1,1,/products/demo,2025/09/14 11:13:00,Visit homepage
acct_noise2,2,/random/page,2025/09/14 15:02:00,Error code: 500
acct_noise3,1,/ads/banner,2025/09/14 15:48:00,Test user access
acct_noise4,1,/ads/banner,2025/09/14 14:11:00,Login success
acct_noise0,1,/ads/banner,2025/09/14 18:55:00,Visit homepage
acct_noise1,2,/ads/banner,2025/09/14 11:53:00,Visit homepage
acct_noise2,2,/confidential/fake,2025/09/14 14:34:00,Visit homepage
acct_noise3,1,/random/page,2025/09/14 13:42:00,Test user access
acct_noise4,2,/ads/banner,2025/09/14 14:54:00,Error code: 500
acct_noise0,1,/products/demo,2025/09/14 17:15:00,Visit homepage
acct_noise1,2,/confidential/fake,2025/09/14 17:26:00,Error code: 500
acct_noise2,2,/confidential/fake,2025/09/14 12:45:00,Error code: 500
acct_noise3,1,/random/page,2025/09/14 14:52:00,Login success
acct_noise4,2,/ads/banner,2025/09/14 10:06:00,Error code: 500
acct_noise0,1,/ads/banner,2025/09/14 18:22:00,Error code: 500
acct_noise1,2,/confidential/fake,2025/09/14 13:30:00,Test user access
acct_noise2,2,/confidential/fake,2025/09/14 11:00:00,Error code: 500
acct_noise3,2,/random/page,2025/09/14 10:25:00,Test user access
acct_noise4,2,/random/page,2025/09/14 17:52:00,Test user access
acct_noise0,2,/products/demo,2025/09/14 10:41:00,Test user access
acct_noise1,1,/confidential/fake,2025/09/14 16:03:00,Visit homepage
acct_noise2,2,/ads/banner,2025/09/14 14:25:00,Error code: 500
acct_noise3,1,/random/page,2025/09/14 17:38:00,Test user access
acct_noise4,2,/random/page,2025/09/14 13:39:00,Error code: 500
acct_noise0,1,/random/page,2025/09/14 18:20:00,Test user access
acct_noise1,2,/confidential/fake,2025/09/14 18:08:00,Error code: 500
acct_noise2,1,/products/demo,2025/09/14 13:04:00,Test user access
acct_noise3,2,/random/page,2025/09/14 12:44:00,Error code: 500
acct_noise4,1,/ads/banner,2025/09/14 16:44:00,Login success
acct_noise0,2,/ads/banner,2025/09/14 09:42:00,Visit homepage
acct_noise1,2,/random/page,2025/09/14 18:17:00,Login success
acct_noise2,2,/products/demo,2025/09/14 17:35:00,Error code: 500
acct_noise3,2,/confidential/fake,2025/09/14 12:30:00,Error code: 500
acct_noise4,1,/confidential/fake,2025/09/14 16:07:00,Visit homepage
acct_noise0,2,/confidential/fake,2025/09/14 14:55:00,Login success
acct_noise1,1,/confidential/fake,2025/09/14 14:44:00,Error code: 500
acct_noise2,2,/products/demo,2025/09/14 12:17:00,Test user access
acct_noise3,1,/confidential/fake,2025/09/14 15:30:00,Test user access
acct_noise4,1,/random/page,2025/09/14 14:53:00,Error code: 500
acct_noise0,1,/products/demo,2025/09/14 15:12:00,Visit homepage
acct_noise1,1,/products/demo,2025/09/14 14:01:00,Visit homepage
acct_noise2,2,/products/demo,2025/09/14 12:10:00,Error code: 500
acct_noise3,1,/random/page,2025/09/14 12:44:00,Test user access
acct_noise4,1,/ads/banner,2025/09/14 11:08:00,Login success
acct_noise0,2,/products/demo,2025/09/14 18:49:00,Error code: 500
acct_noise1,1,/ads/banner,2025/09/14 17:06:00,Error code: 500
acct_noise2,1,/random/page,2025/09/14 15:44:00,Visit homepage
acct_noise3,1,/confidential/fake,2025/09/14 15:52:00,Login success
acct_noise4,1,/random/page,2025/09/14 12:02:00,Visit homepage
acct_noise0,2,/products/demo,2025/09/14 16:16:00,Test user access
acct_noise1,2,/random/page,2025/09/14 15:19:00,Visit homepage
acct_noise2,2,/confidential/fake,2025/09/14 11:14:00,Visit homepage
acct_noise3,1,/confidential/fake,2025/09/14 09:59:00,Visit homepage
acct_noise4,2,/ads/banner,2025/09/14 17:47:00,Test user access
acct_noise0,1,/ads/banner,2025/09/14 14:20:00,Error code: 500
acct_noise1,1,/products/demo,2025/09/14 15:30:00,Error code: 500
acct_noise2,1,/confidential/fake,2025/09/14 17:57:00,Login success
acct_noise3,2,/confidential/fake,2025/09/14 13:00:00,Login success
acct_noise4,2,/random/page,2025/09/14 11:31:00,Test user access
